ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
010653.OF,农银汇理金玉,农银汇理基金,20210416,债券型,债券型,中债国债及政策性银行债指数收益率,0.3,0.1,郭振宇,5.99,20220930,,,,,,,,,,0.034038400000000024,0.02955842839105397,0.06460295000000005
010249.OF,国金惠诚A,国金基金,20210414,债券型,债券型,中债-综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.7,0.15,于涛 尹海峰 张航,0.58,20220930,,,,,,,,,,0.041099999999999914,-0.05657477667851307,-0.017800000000000038
010516.OF,嘉合中债1-3年政金债A,嘉合基金,20210414,债券型,被动指数型,中债-1-3年政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,叶平 季慧娟,0.02,20220930,,,,,,,,,,0.02069999999999994,0.03879690408543165,0.06030000000000002
010517.OF,嘉合中债1-3年政金债C,嘉合基金,20210414,债券型,被动指数型,中债-1-3年政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,叶平 季慧娟,0.62,20220930,,,,,,,,,,0.01990000000000003,0.01941366800666736,0.03970000000000007
010262.OF,海富通中债1-3年农发债A,海富通基金,20210414,债券型,被动指数型,中债1-3年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,方昆明,7.66,20220930,,,,,,,,,,0.025076929999999997,0.026201126192548205,0.0519350999999999
010263.OF,海富通中债1-3年农发债C,海富通基金,20210414,债券型,被动指数型,中债1-3年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,方昆明,0.0,20220930,,,,,,,,,,0.024374569999999984,0.025130368084010472,0.050117479999999937
010250.OF,国金惠诚C,国金基金,20210414,债券型,债券型,中债-综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.7,0.15,于涛 尹海峰 张航,0.02,20220930,,,,,,,,,,0.037800000000000056,-0.06041626517633464,-0.024900000000000033
010959.OF,大成惠泽一年定开债,大成基金,20210413,债券型,债券型,中债综合全价指数收益率,0.3,0.1,方孝成,5.19,20220930,,,,,,,,,,0.02410000000000001,0.020070618103700824,0.044654320000000025
011719.OF,浦银安盛盛华一年定开,浦银安盛基金,20210413,债券型,债券型,中证综合债指数收益率,0.3,0.1,曹治国,83.57,20220930,,,,,,,,,,0.02719999999999989,0.02448202881619947,0.05234793999999998
011953.OF,招商招瑞纯债D,招商基金,20210409,债券型,债券型,中证全债指数收益率,0.3,0.1,刘万锋,0.0,20220930,,,,,,,,,,0.022381378692927403,0.022038747810858246,0.04491338406445839
011955.OF,招商招祥纯债D,招商基金,20210409,债券型,债券型,中债综合指数收益率,0.3,0.1,康晶 王梓林 马龙,,,,,,,,,,,,,,
