,date,open,close,high,low,volume,code
683,2010-10-26,3491.47,3466.08,3499.82,3436.46,142636999.0,sh000300
684,2010-10-27,3451.43,3403.87,3490.22,3398.09,123761570.0,sh000300
685,2010-10-28,3390.43,3397.69,3420.89,3371.44,98349456.0,sh000300
686,2010-10-29,3400.26,3379.98,3404.6,3351.6,100458970.0,sh000300
687,2010-11-01,3390.41,3473.0,3473.0,3390.41,126269148.0,sh000300
688,2010-11-02,3484.23,3463.13,3522.18,3449.72,154911450.0,sh000300
689,2010-11-03,3462.74,3420.34,3474.71,3419.08,126359303.0,sh000300
690,2010-11-04,3426.46,3480.5,3480.93,3419.64,116799481.0,sh000300
691,2010-11-05,3538.99,3520.8,3554.47,3498.28,137688027.0,sh000300
692,2010-11-08,3534.19,3548.57,3549.3,3506.38,126470759.0,sh000300
693,2010-11-09,3547.44,3523.95,3547.44,3498.62,122454533.0,sh000300
694,2010-11-10,3507.2,3499.11,3508.27,3470.97,120078578.0,sh000300
695,2010-11-11,3490.74,3509.98,3557.99,3484.89,138976233.0,sh000300
696,2010-11-12,3484.61,3291.83,3497.06,3284.35,160733850.0,sh000300
697,2010-11-15,3298.74,3314.89,3319.98,3241.76,102315724.0,sh000300
698,2010-11-16,3311.62,3169.54,3311.62,3155.48,108307072.0,sh000300
699,2010-11-17,3124.11,3103.91,3168.93,3087.51,83258080.0,sh000300
700,2010-11-18,3134.94,3147.96,3158.63,3097.39,65697292.0,sh000300
701,2010-11-19,3168.17,3178.85,3178.85,3076.21,83347654.0,sh000300
702,2010-11-22,3148.22,3171.94,3200.47,3137.75,83212776.0,sh000300
703,2010-11-23,3156.48,3107.18,3156.48,3061.62,77399591.0,sh000300
704,2010-11-24,3088.99,3177.04,3177.41,3088.99,75332083.0,sh000300
705,2010-11-25,3197.97,3223.48,3227.05,3172.28,83442094.0,sh000300
706,2010-11-26,3214.13,3194.85,3224.52,3170.36,64467824.0,sh000300
707,2010-11-29,3183.54,3190.05,3206.76,3159.46,58994892.0,sh000300
708,2010-11-30,3187.53,3136.99,3205.78,3060.44,85762355.0,sh000300
709,2010-12-01,3127.26,3136.02,3150.44,3111.65,48882668.0,sh000300
710,2010-12-02,3185.76,3155.06,3194.23,3154.32,61023908.0,sh000300
711,2010-12-03,3161.93,3158.16,3171.38,3134.42,50475354.0,sh000300
712,2010-12-06,3168.88,3165.57,3185.33,3140.55,56362630.0,sh000300
713,2010-12-07,3152.73,3200.34,3214.69,3112.22,58483653.0,sh000300
714,2010-12-08,3194.9,3171.88,3215.28,3166.77,59515663.0,sh000300
715,2010-12-09,3156.0,3123.37,3175.05,3122.2,66152965.0,sh000300
716,2010-12-10,3107.38,3161.98,3172.16,3101.08,57108105.0,sh000300
717,2010-12-13,3176.33,3261.06,3261.34,3173.56,95713739.0,sh000300
718,2010-12-14,3270.2,3269.47,3279.36,3254.18,84104241.0,sh000300
719,2010-12-15,3270.78,3247.64,3282.77,3242.52,72269785.0,sh000300
720,2010-12-16,3246.01,3230.67,3258.39,3224.12,56799625.0,sh000300
721,2010-12-17,3229.3,3225.66,3232.84,3212.58,44919147.0,sh000300
722,2010-12-20,3239.02,3178.66,3249.76,3118.0,74759693.0,sh000300
