ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
001508.OF,富国新动力A,富国基金,混合型,20150804,0.6,0.25,同期中国人民银行公布的一年期人民币定期存款基准利率(税后)+3%,灵活配置型,O,于洋,43.83,20220930.0,,,,0.367,-0.179224579370885,0.0873440285204989,0.0688524590163935,0.7131901840490796,0.8124440465532679,0.0695988120523584,-0.1396815851990252,2.7258718
002628.OF,招商安博A,招商基金,混合型,20160525,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,O,张西林,0.97,20220930.0,,,,,-0.003,0.0250752256770311,-0.0437806072477962,0.3958418680868495,0.5741433707535403,0.0509928218514029,-0.1414759623913428,0.9358
001181.OF,南方改革机遇,南方基金,混合型,20150519,1.5,0.25,沪深300指数收益率*60%+上证国债指数收益率*40%,灵活配置型,O,卢玉珊,3.4,20220930.0,,,,-0.003,-0.0641925777331995,0.0,-0.1670235546038544,0.3547557840616966,0.635673624288425,0.1189095127610209,-0.142042509072058,0.655
001510.OF,富国新动力C,富国基金,混合型,20150804,0.6,0.25,同期中国人民银行公布的一年期人民币定期存款基准利率(税后)+3%,灵活配置型,O,于洋,12.35,20220930.0,,,,0.369,-0.1840759678597516,0.0832587287376902,0.065289256198347,0.7059736229635376,0.8035470668485677,0.0641844931921331,-0.1438334885617077,2.61349845
002446.OF,广发利鑫A,广发基金,混合型,20160321,1.5,0.2,沪深300指数收益率*50%+中证全债指数收益率*50%,灵活配置型,O,段涛,13.77,20220930.0,,,,,0.01,0.0524752475247524,0.0037629350893697,0.294559099437148,1.0144927536231885,0.083453237410072,-0.1439353320053121,1.5784667799999998
000327.OF,南方潜力新蓝筹A,南方基金,混合型,20150529,1.5,0.25,中证700指数收益率*80%+上证国债指数收益率*20%,混合型,O,钟贇,14.34,20220930.0,,,,0.014,0.0305719921104535,0.0526315789473685,-0.0368181818181818,0.4359192147980369,0.4322707854091355,0.240501101321586,-0.1450337550401361,1.31123025
161219.SZ,国投新兴产业LOF,国投瑞银基金,混合型,20111213,1.5,0.25,中证新兴产业指数*55%+中债总指数*45%,灵活配置型,E,吴潇,6.18,20220930.0,0.123,0.2318788958147818,0.1486193436460893,0.7495280050346129,-0.0327338129496402,0.1004090740052064,-0.1591078066914498,0.5623230809420465,0.5177956392748788,0.064296520401806,-0.1453447045221691,4.36689459
002629.OF,招商安博C,招商基金,混合型,20160525,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,O,张西林,0.52,20220930.0,,,,,-0.006,0.0181086519114688,-0.0496047430830039,0.3889177669196383,0.566392215568862,0.0456826109810293,-0.1457752593337293,0.8693
487016.OF,工银瑞信灵活配置A,工银瑞信基金,混合型,20150203,1.5,0.25,中证800指数收益率*55%+中债信用债总财富指数收益率*45%,灵活配置型,O,李昱,2.42,20220930.0,,,,0.0969999999999999,-0.0036463081130355,0.0311070448307411,-0.1236234458259324,0.3943633414436333,0.7349861858368474,0.2132590202405398,-0.1465529151699365,1.4709
001603.OF,易方达安盈回报,易方达基金,混合型,20170216,0.9,0.25,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,混合型,O,张清华,25.59,20220930.0,,,,,,0.2230000000000001,-0.16107931316435,0.4454191033138402,0.5542818610923803,0.1953209110629065,-0.1499803663213614,1.34198659
519736.OF,交银新成长,交银施罗德基金,混合型,20140509,1.5,0.25,富时中国A600成长指数*75%+中证综合债券指数*25%,混合型,O,王崇,94.77,20220930.0,,,0.086,0.6611418047882136,0.024390243902439,0.3358766233766234,-0.1598817191234254,0.5820284860173579,0.5597785990050712,0.0366690323820332,-0.1508443635676677,3.50519331
001256.OF,泓德优选成长,泓德基金,混合型,20150521,1.5,0.25,沪深300指数收益率*80%+中证综合债券指数*20%,混合型,O,王克玉,15.66,20220930.0,,,,0.0869999999999999,0.0205151793928242,0.1017758947083746,-0.1408116511209294,0.3673977906866011,0.5243147729846811,0.0999419939137332,-0.1508839848288887,1.0442641199999998
164205.OF,天弘文化新兴产业A,天弘基金,股票型,20170809,1.5,0.25,中证800指数收益率*80%+中证综合债指数收益率*20%,股票型,O,刘国江,4.7,20220930.0,,,,,,-0.0079472590987084,-0.1478245039140724,0.8780435711234514,0.4074832252928466,0.0517937944408533,-0.1518399016670508,0.994129865438454
110001.OF,易方达平稳增长,易方达基金,混合型,20020823,1.5,0.25,上证A股指数,平衡型,O,陈皓,34.03,20220930.0,0.0119136769010823,0.1770384822389666,0.1950787345317368,0.6216132195040295,-0.1121794399138782,0.1976114543884126,-0.1752541573625885,0.3980926225510803,0.4518748656639358,0.2422666101729586,-0.1526575011522692,3.3249205051399
161611.OF,融通内需驱动AB,融通基金,混合型,20090422,1.5,0.25,沪深300指数收益率*80%+中债综合全价(总值)指数收益率*20%,混合型,O,范琨,8.72,20220930.0,0.1067531701562961,0.1037836397548627,0.2796620398310199,0.3172043010752688,-0.2847117794486216,0.0724797277004704,-0.1569121627928684,0.6095496184894393,0.4896710012860596,0.3230611196855019,-0.1533385108459037,2.581287540548511
163804.OF,中银收益A,中银基金,混合型,20061011,1.5,0.25,中证800指数收益率*60%+中债综合指数收益率*40%,混合型,O,黄珺,18.71,20220930.0,0.1602161208512515,0.2821706899828929,0.1344600103772885,0.4644233910486768,-0.0937179315575781,0.0863261538461537,-0.077149654469242,0.3562944125300731,0.6604295747567853,0.2225811795309785,-0.1555010080523198,4.221784391884441
960012.OF,中银收益H,中银基金,混合型,20150924,1.5,0.25,中证800指数收益率*60%+中债综合指数收益率*40%,混合型,O,黄珺,0.03,20220930.0,,,,,0.0938267561814311,0.0861526946107784,-0.0763506063947078,0.3557840283476314,0.6599402818869645,0.222671579817967,-0.1555698949958688,1.5501481169150155
